,noteId,noteAuthorParticipantId,createdAtMillis,timestampMillisOfFirstNonNMRStatus,firstNonNMRStatus,timestampMillisOfCurrentStatus,currentStatus,timestampMillisOfLatestNonNMRStatus,mostRecentNonNMRStatus,timestampMillisOfStatusLock,lockedStatus,timestampMillisOfRetroLock,currentCoreStatus,currentExpansionStatus,currentGroupStatus,currentDecidedBy,currentModelingGroup
338,1545323365522673664,533AD4CE980953E5E12ED9F3B850C5B3AD2D03BBFB1551B7E65B89D5C40AA43E,1657268775718,,,1714299042369,NEEDS_MORE_RATINGS,,,1674003109873.0,NEEDS_MORE_RATINGS,,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,,CoreModel (v1.1),
339,1545325123963654145,97515CADF65C453D29002ED3B777C2273FE9CC69E7FBC898F63673DBA7092FD0,1657269194966,,,1714299042369,NEEDS_MORE_RATINGS,,,1674003109873.0,NEEDS_MORE_RATINGS,,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,CoreModel (v1.1),13.0
340,1545287816963231745,EFD15F4DD3CC134F1DE6FCE13CE1A29B41F9F73CDEF3470B680415F8C22DF8F7,1657260300280,1657331495400.0,CURRENTLY_RATED_HELPFUL,1714299042369,CURRENTLY_RATED_HELPFUL,1657331495400.0,CURRENTLY_RATED_HELPFUL,1674003109873.0,CURRENTLY_RATED_HELPFUL,,CURRENTLY_RATED_HELPFUL,CURRENTLY_RATED_HELPFUL,CURRENTLY_RATED_HELPFUL,CoreModel (v1.1),13.0
341,1545390119577952256,85795F789DC24FA53E6330B7B2876AA2961A7129AB8D6CEF9BD24C37CE097F96,1657284691124,,,1714299042369,NEEDS_MORE_RATINGS,,,1674003109873.0,NEEDS_MORE_RATINGS,,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,CoreModel (v1.1),13.0
342,1545390636395896833,85795F789DC24FA53E6330B7B2876AA2961A7129AB8D6CEF9BD24C37CE097F96,1657284814347,,,1714299042369,NEEDS_MORE_RATINGS,,,1674003109873.0,NEEDS_MORE_RATINGS,,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,CoreModel (v1.1),13.0
343,1545390236821327874,85795F789DC24FA53E6330B7B2876AA2961A7129AB8D6CEF9BD24C37CE097F96,1657284719078,,,1714299042369,NEEDS_MORE_RATINGS,,,1674003109873.0,NEEDS_MORE_RATINGS,,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,CoreModel (v1.1),13.0
344,1545412536933163010,2FF588C5DC0FB919866D984848DFB07BE837710F36D5DEAB8DA60342A4AF240F,1657290035839,,,1714299042369,NEEDS_MORE_RATINGS,,,1674003109873.0,NEEDS_MORE_RATINGS,,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,,CoreModel (v1.1),
345,1545409863903313920,A4539B080F62F9A5835128E01FEB846D4A365275D8681A4596268152395919AA,1657289398538,1657331495400.0,CURRENTLY_RATED_HELPFUL,1714299042369,CURRENTLY_RATED_HELPFUL,1657331495400.0,CURRENTLY_RATED_HELPFUL,1674003109873.0,CURRENTLY_RATED_HELPFUL,1660435200000.0,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,,ScoringDriftGuard (v1.0),
346,1545414361757409280,7C835914ED744B4E3F052B054730F66E962545AAB84DAFF4B5A23A163E70B882,1657290470910,,,1714299042369,NEEDS_MORE_RATINGS,,,1674003109873.0,NEEDS_MORE_RATINGS,,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,CoreModel (v1.1),13.0
347,1545413196118429696,AF95520C394A0FEBAD4EBE9A5083B126AB62315B6476A21B152BFE609C8902B2,1657290193001,,,1714299042369,NEEDS_MORE_RATINGS,,,1674003109873.0,NEEDS_MORE_RATINGS,,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,,CoreModel (v1.1),
348,1545407576690475009,84D5AD9B0A0BCD51918FCA666F16A5749505A63A21B20083746F90C258AE06B8,1657288853225,,,1714299042369,NEEDS_MORE_RATINGS,,,1674003109873.0,NEEDS_MORE_RATINGS,,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,CoreModel (v1.1),13.0
349,1545445678163402752,62478003D2FC9B2A6CB9C3B5C2EF88F34E4B1BA40722855AF2006296078CFCD0,1657297937331,,,1714299042369,NEEDS_MORE_RATINGS,,,1674003109873.0,NEEDS_MORE_RATINGS,,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,,CoreModel (v1.1),
350,1545434712545574916,1B1858FBF8D973E4DA7B48AB92806997013C533AA948AAFF452038A735769990,1657295322916,1657833385376.0,CURRENTLY_RATED_NOT_HELPFUL,1714299042369,CURRENTLY_RATED_NOT_HELPFUL,1657833385376.0,CURRENTLY_RATED_NOT_HELPFUL,1674003109873.0,CURRENTLY_RATED_NOT_HELPFUL,,CURRENTLY_RATED_NOT_HELPFUL,CURRENTLY_RATED_NOT_HELPFUL,CURRENTLY_RATED_NOT_HELPFUL,CoreModel (v1.1),13.0
351,1545470111942852608,0F9F2AE797DF64620DCF116808E336FE7105761DDE99ED4BB9D4D3A61D0F5B7C,1657303762790,,,1714299042369,NEEDS_MORE_RATINGS,,,1674003109873.0,NEEDS_MORE_RATINGS,,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,CoreModel (v1.1),13.0
